"ID","Contact__r.External_Key__c
","Event__r.External_Key__c
","STATUS"
"a02WU0000028Zx7YAE","9Sep24C1","9Sep24E1","Item Created"
"a02WU0000028Zx8YAE","9Sep24C1","9Sep24E2","Item Created"
"a02WU0000028Zx9YAE","9Sep24C1","9Sep24E3","Item Created"
"a02WU0000028ZxAYAU","9Sep24C1","9Sep24E4","Item Created"
"a02WU0000028ZxBYAU","9Sep24C1","9Sep24E5","Item Created"
"a02WU0000028ZxCYAU","9Sep24C1","9Sep24E6","Item Created"
"a02WU0000028ZxDYAU","9Sep24C1","9Sep24E7","Item Created"
"a02WU0000028ZxEYAU","9Sep24C1","9Sep24E8","Item Created"
"a02WU0000028ZxFYAU","9Sep24C1","9Sep24E9","Item Created"
"a02WU0000028ZxGYAU","9Sep24C1","9Sep24E10","Item Created"
"a02WU0000028ZxHYAU","9Sep24C1","9Sep24E11","Item Created"
"a02WU0000028ZxIYAU","9Sep24C1","9Sep24E12","Item Created"
"a02WU0000028ZxJYAU","9Sep24C1","9Sep24E13","Item Created"
"a02WU0000028ZxKYAU","9Sep24C1","9Sep24E14","Item Created"
"a02WU0000028ZxLYAU","9Sep24C1","9Sep24E15","Item Created"
"a02WU0000028ZxMYAU","9Sep24C1","9Sep24E16","Item Created"
"a02WU0000028ZxNYAU","9Sep24C1","9Sep24E17","Item Created"
"a02WU0000028ZxOYAU","9Sep24C1","9Sep24E18","Item Created"
"a02WU0000028ZxPYAU","9Sep24C1","9Sep24E19","Item Created"
"a02WU0000028ZxQYAU","9Sep24C1","9Sep24E20","Item Created"
"a02WU0000028ZxRYAU","9Sep24C1","9Sep24E21","Item Created"
"a02WU0000028ZxSYAU","9Sep24C1","9Sep24E22","Item Created"
"a02WU0000028ZxTYAU","9Sep24C1","9Sep24E23","Item Created"
"a02WU0000028ZxUYAU","9Sep24C1","9Sep24E24","Item Created"
"a02WU0000028ZxVYAU","9Sep24C1","9Sep24E25","Item Created"
"a02WU0000028ZxWYAU","9Sep24C1","9Sep24E26","Item Created"
"a02WU0000028ZxXYAU","9Sep24C1","9Sep24E27","Item Created"
"a02WU0000028ZxYYAU","9Sep24C1","9Sep24E28","Item Created"
"a02WU0000028ZxZYAU","9Sep24C1","9Sep24E29","Item Created"
"a02WU0000028ZxaYAE","9Sep24C1","9Sep24E30","Item Created"
"a02WU0000028ZxbYAE","9Sep24C1","9Sep24E31","Item Created"
"a02WU0000028ZxcYAE","9Sep24C1","9Sep24E32","Item Created"
"a02WU0000028ZxdYAE","9Sep24C1","9Sep24E33","Item Created"
"a02WU0000028ZxeYAE","9Sep24C1","9Sep24E34","Item Created"
"a02WU0000028ZxfYAE","9Sep24C1","9Sep24E35","Item Created"
"a02WU0000028ZxgYAE","9Sep24C1","9Sep24E36","Item Created"
"a02WU0000028ZxhYAE","9Sep24C1","9Sep24E37","Item Created"
"a02WU0000028ZxiYAE","9Sep24C1","9Sep24E38","Item Created"
"a02WU0000028ZxjYAE","9Sep24C1","9Sep24E39","Item Created"
"a02WU0000028ZxkYAE","9Sep24C1","9Sep24E40","Item Created"
"a02WU0000028ZxlYAE","9Sep24C1","9Sep24E41","Item Created"
"a02WU0000028ZxmYAE","9Sep24C1","9Sep24E42","Item Created"
"a02WU0000028ZxnYAE","9Sep24C1","9Sep24E43","Item Created"
"a02WU0000028ZxoYAE","9Sep24C1","9Sep24E44","Item Created"
"a02WU0000028ZxpYAE","9Sep24C1","9Sep24E45","Item Created"
"a02WU0000028ZxqYAE","9Sep24C1","9Sep24E46","Item Created"
"a02WU0000028ZxrYAE","9Sep24C1","9Sep24E47","Item Created"
"a02WU0000028ZxsYAE","9Sep24C1","9Sep24E48","Item Created"
"a02WU0000028ZxtYAE","9Sep24C1","9Sep24E49","Item Created"
"a02WU0000028ZxuYAE","9Sep24C1","9Sep24E50","Item Created"
"a02WU0000028ZxvYAE","9Sep24C1","9Sep24E51","Item Created"
